"Site_ID","Round","Plant_gen_sp","Pollinator_gen_sp","Out","Pollinator_sex","Frequency"
"Aznalcazar",1,"Teucrium fruticans","Anthophora dispar","transect","male",2
"Bonares",1,"Cistus ladanifer","Empis morpho1","transect","male",2
"Elpinar",6,"Convolvulus arvensis","Systropha planidens","out","male",1
"Niebla",7,"Taraxacum vulgare","Halictus sp","transect","female",3
"Bonares",7,"Thymus mastichina","Halictus scabiosae","transect","female",2
"LaRocina",4,"Rosmarinus officinalis","Sphecodes sp","transect","female",7
"LaCunya",6,"Leontodon longirostris","Dasypoda cingulata","transect","female",1
"Aznalcazar",7,"Cistus crispus","Andrena nigroaenaea","transect","female",1
"Aznalcazar",5,"Teucrium fruticans","Dasypoda crassicornis","transect","male",1
"Lasmulas",5,"Ranunculus sp","Andrena rhyssonota","transect","male",1
"Aznalcazar",6,"Cistus crispus","Dasypoda argentata","transect","female",1
"Villamanriquesur",6,"Cistus crispus","Andrena nigroaenaea","transect","female",3
"Bonares",1,"Cistus ladanifer","Anthaxia sp","transect",NA,1
"Villamanriquesur",6,"Armeria velutina","Dasypoda cingulata","transect","male",1
"Bonares",6,"Thapsia villosa","Dasypoda hirtipes","transect","female",1
"CotitodeSantaTeresa",6,"Cistus crispus","Dasypoda cingulata","transect","male",1
"LaCunya",6,"Erica ciliaris","Andrena rhyssonota","transect","male",2
"Villamanriquesur",7,"Halimium halimifolium","Dasypoda crassicornis","transect","female",5
"Villamanriquesur",7,"Armeria velutina","Dasypoda crassicornis","transect","female",2
"Villamanriqueeste",3,"Cistus ladanifer","Dasypoda crassicornis","transect","male",3
"Aznalcazar",7,"Lavatera cretica","Dasypoda crassicornis","transect","female",1
"Bonares",1,"Cistus ladanifer","Ceratina cucurbitina","transect","male",1
"PinaresdeHinojos",7,"Armeria velutina","Dasypoda cingulata","out","male",1
"PinaresdeHinojos",7,"Armeria velutina","Dasypoda cingulata","out","female",1
"Aznalcazar",6,"Cistus crispus","Dasypoda argentata","out","female",1
"Villamanriqueeste",5,"Cistus crispus","Dasypoda cingulata","transect","female",2
