"Pollinator_gen_sp","IT","family","order","tongue_length"
"Acmaeoderella adspersula",1.87,"Buprestidae","Coleoptera",0
"Agapanthia asphodeli",1.08,"Cerambycidae","Coleoptera",0
"Amegilla albigena",3.63471240290829,"Apidae","Hymenoptera",6.55249104973398
"Amegilla fasciata",3.76554227562375,"Apidae","Hymenoptera",6.69682972450306
"Amegilla quadrifasciata",4.54112361902704,"Apidae","Hymenoptera",8.39298978957889
"Ammophila heydeni",1.77537307692308,"Sphecidae","Hymenoptera",1.49216378605048
"Ancistrocerus biphaleratus",2.88195468819287,"Vespidae","Hymenoptera",2.37573564384541
"Ancistrocerus gazella",1.88986172910387,"Vespidae","Hymenoptera",1.58442351892953
"Ancistrocerus reconditus",2.38590820864837,"Vespidae","Hymenoptera",1.98173707053614
"Andrena abrupta",1.51,"Andrenidae","Hymenoptera",1.57443137118015
"Andrena angustior",1.27,"Andrenidae","Hymenoptera",1.33339074806797
"Andrena carbonaria",2.33284097228163,"Apidae","Hymenoptera",4.80340639957411
"Andrena cinerea",1.8,"Andrenidae","Hymenoptera",1.86366337367049
"Andrena ferrugineicrus",1.92,"Andrenidae","Hymenoptera",1.98278235228174
"Andrena fertoni",1.69,"Andrenidae","Hymenoptera",1.75419190152006
"Andrena flavipes",3.15107972552538,"Andrenidae","Hymenoptera",3.19026589399548
"Andrena florea",2.84477498538492,"Andrenidae","Hymenoptera",2.89195725105213
"Andrena hispania",3.39401649617808,"Andrenidae","Hymenoptera",3.42603074618822
"Andrena humilis",2.91857543963352,"Andrenidae","Hymenoptera",2.96394371246512
"Andrena labialis",3.08200921316367,"Andrenidae","Hymenoptera",3.12310395707084
"Andrena morio",2.34166782159649,"Andrenidae","Hymenoptera",2.39910989407626
"Andrena nigroaenaea",3.25984328594942,"Andrenidae","Hymenoptera",3.29590525330316
"Andrena nitidiuscula",1.39,"Andrenidae","Hymenoptera",1.45411941649947
"Andrena ovatula",2.05042319860555,"Andrenidae","Hymenoptera",2.111911095249
"Andrena rhyssonota",3.33550907879242,"Andrenidae","Hymenoptera",3.3693141608606
"Andrena sp",2.34166782159649,"Andrenidae","Hymenoptera",2.39910989447313
"Andrena tenuistriata",1.18,"Andrenidae","Hymenoptera",1.24254633378059
"Andrena thoracica",3.67094839322225,"Andrenidae","Hymenoptera",3.69396701621015
"Andrena vulpecula",1.35,"Andrenidae","Hymenoptera",1.41392470565907
"Anthaxia morpho1",3.8,"Buprestidae","Coleoptera",0
"Anthaxia sp",3.8,"Buprestidae","Coleoptera",0
"Anthidiellum strigatum",2.01,"Megachilidae","Hymenoptera",3.65518886184663
"Anthidium septemspinosum",3.7,"Megachilidae","Hymenoptera",6.5662174606652
"Anthophora aestivalis",4.74194366519535,"Apidae","Hymenoptera",9.49068890790627
"Anthophora atroalba",4.60454815623484,"Apidae","Hymenoptera",8.1731077147016
"Anthophora bimaculata",2.90164998183918,"Apidae","Hymenoptera",5.92268760256413
